rating_bin,player,split_by_player,avg_elo,n_games_month,n_eligible_games
1100_1200,Popusik,test,1173.0,1,1
1100_1200,Abdoadel_99,train,1165.0,1,1
1100_1200,GalileuszfromGalicja,train,1196.0,1,1
1100_1200,thenardog,train,1199.0,1,1
1100_1200,zoli_chess,train,1149.0,1,1
1200_1300,angolaalt,test,1210.0,1,1
1200_1300,Andless_Feefle,train,1207.0,1,1
1200_1300,anil1212,train,1299.0,1,1
1200_1300,aryjaks,train,1256.0,1,1
1200_1300,lTheHoundl,train,1214.0,1,1
1300_1400,ebudikka,test,1359.0,1,1
1300_1400,Cletano,train,1370.0,1,1
1300_1400,LucyferSam,train,1395.0,1,1
1300_1400,WESSELin2016,train,1393.0,1,1
1300_1400,erksun,train,1375.0,1,1
1400_1500,nahuelLincheo_2jav,test,1462.0,1,1
1400_1500,Leopoldo1973,train,1447.0,1,1
1400_1500,TheTimTwo,train,1471.0,1,1
1400_1500,azeiss,train,1470.0,1,1
1400_1500,shaumie2000,train,1451.0,1,1
1500_1600,violoncessist,test,1539.0,2,1
1500_1600,Pablittokm14,train,1576.0,1,1
1500_1600,freddy2024,train,1538.0,1,1
1600_1700,oranggila9203,test,1627.0,1,1
1600_1700,Kasparovakis,train,1688.0,1,1
1600_1700,RU_722,train,1671.0,1,1
1600_1700,owenowen1000,train,1604.0,1,1
1600_1700,trcnchess28909,train,1678.0,1,1
1700_1800,Gt31978,test,1706.0,1,1
1700_1800,Erviss,train,1735.0,1,1
1700_1800,Octavio5218_m,train,1798.0,1,1
1700_1800,Sheket2,train,1733.0,1,1
1700_1800,TarekAzizieh,train,1722.0,1,1
1800_1900,Renardowski,test,1857.0,1,1
1800_1900,GuerraAperta,train,1864.0,1,1
1800_1900,MiloNouveau,train,1813.0,1,1
1800_1900,Saergut,train,1864.0,1,1
1800_1900,grumpy58,train,1808.0,1,1
1900_2000,matthiasbj21,test,1970.0,1,1
1900_2000,AsperoWells,train,1944.0,1,1
1900_2000,SUDAKA57,train,1928.0,1,1
1900_2000,lard2901,train,1933.0,1,1
1900_2000,lluisuc,train,1987.0,1,1
2000_2100,javiperalta,test,2011.0,1,1
2000_2100,fuatbaycar1969,train,2091.0,1,1
2000_2100,gerardog312,train,2004.0,1,1
2000_2100,mouv,train,2024.0,1,1
2000_2100,ugurgonen,train,2029.0,1,1
2100_2200,MirsadiqNabiyev,test,2142.0,1,1
2100_2200,Advensavic,train,2109.0,1,1
2100_2200,LLE3APb,train,2168.0,1,1
2100_2200,Mylos-Sagar,train,2170.0,1,1
2100_2200,look2022,train,2190.0,1,1
gt_2200,NoobSlasher1,test,2278.0,1,1
gt_2200,EDEY,train,2332.0,1,1
gt_2200,I_Ducasse,train,2296.0,1,1
gt_2200,KamKichubaev,train,2379.0,1,1
gt_2200,diabloazul2006,train,2360.0,1,1
lt_1100,Myckey707809,test,766.0,1,1
lt_1100,chesseveryman,train,1084.0,1,1
lt_1100,walterMartin,train,902.5,2,1
